handle,field,default content (en),translated content (ar)
motarro-pencil-pouch-mx014,body_html,"<p>Motarro Pencil Pouch to keep pens, pencils and small tools together.</p><p>Fits neatly in a school bag or on a desk — no more hunting for the sharpener. From Motarro.</p>",<p>مقلمة من Motarro لتجميع الأقلام والأدوات الصغيرة في مكان واحد.</p><p>يدخل حقيبة المدرسة بسهولة — ولا مزيد من البحث عن البراية.</p>
motarro-clay-tools-mp216,title,Motarro Clay Tools — Style 2,صلصال تصميم ٢ من Motarro
motarro-clay-tools-mp216,body_html,"<p>Motarro Clay Tools — soft, colourful and easy to shape.</p><p>Hours of screen-free making for kids; air-dries into keepable little creations. From Motarro.</p>",<p>صلصال تصميم ٢ من Motarro — طري وملون وسهل التشكيل.</p><p>ساعات من اللعب الإبداعي بعيدًا عن الشاشات، ويجف ليتحول إلى مجسمات تُحفظ.</p>
motarro-painting-palette-round-mp166-1,title,Motarro Painting Palette Round — Style 1,لوحة ألوان تصميم ١ من Motarro
motarro-painting-palette-round-mp166-1,body_html,"<p>Motarro Painting Palette Round for mixing colours while you paint.</p><p>Easy to hold, easy to rinse. From Motarro.</p>",<p>لوحة ألوان تصميم ١ من Motarro لمزج الألوان أثناء الرسم.</p><p>سهلة الإمساك وسهلة الغسل.</p>
motarro-painting-palette-round-mp166-2,title,Motarro Painting Palette Round — Style 2,لوحة ألوان تصميم ٢ من Motarro
motarro-painting-palette-round-mp166-2,body_html,"<p>Motarro Painting Palette Round for mixing colours while you paint.</p><p>Easy to hold, easy to rinse. From Motarro.</p>",<p>لوحة ألوان تصميم ٢ من Motarro لمزج الألوان أثناء الرسم.</p><p>سهلة الإمساك وسهلة الغسل.</p>
motarro-shaped-punch-me428-1,title,Motarro Craft Shape Punch,أداة مكتبية من Motarro — Craft Shape Punch
motarro-shaped-punch-me428-1,body_html,<p>Motarro Craft Shape Punch — a practical helper for the desk.</p><p>One of those tools you reach for more often than you expect. From Motarro.</p>,<p>أداة مكتبية من Motarro — أداة عملية للمكتب.</p><p>من الأدوات التي ستستخدمها أكثر مما تتوقع.</p>
motarro-transparent-tape-disp-mt012-6,title,Motarro Transparent Tape with Dispenser,شريط لاصق من Motarro
motarro-transparent-tape-disp-mt012-6,body_html,"<p>Motarro Transparent Tape with Dispenser for sticking, sealing and decorating.</p><p>Handy on every desk and in every craft box. From Motarro.</p>",<p>شريط لاصق من Motarro للصق والتغليف والتزيين.</p><p>عملي على كل مكتب وفي كل صندوق كرافت.</p>
motarro-non-sharpening-pencil-lt-13041,title,Motarro Non-Sharpening Pencil — Style 13041,قلم رصاص تصميم ١٣٠٤١ من Motarro
motarro-non-sharpening-pencil-lt-13041,body_html,<p>Motarro Non-Sharpening Pencil for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Motarro.</p>,<p>قلم رصاص تصميم ١٣٠٤١ من Motarro للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
motarro-non-sharpening-pencil-lt-1316,title,Motarro Non-Sharpening Pencil — Style 2,قلم رصاص تصميم ٢ من Motarro
motarro-non-sharpening-pencil-lt-1316,body_html,<p>Motarro Non-Sharpening Pencil for writing and sketching.</p><p>A classroom essential that sharpens cleanly and writes smoothly. From Motarro.</p>,<p>قلم رصاص تصميم ٢ من Motarro للكتابة والرسم.</p><p>أساسي في كل مقلمة — يُبرى بسهولة ويكتب بسلاسة.</p>
motarro-steel-ruler-50cm-myd067-50,title,Motarro Steel Ruler — 50 cm,مسطرة ٥٠ سم من Motarro
motarro-steel-ruler-50cm-myd067-50,body_html,"<p>Motarro Steel Ruler — 50 cm for accurate measuring and clean lines.</p><p>Made for pencil cases, drawing boards and toolboxes. From Motarro.</p>",<p>مسطرة ٥٠ سم من Motarro لقياس دقيق وخطوط نظيفة.</p><p>لأدوات الهندسة والمقلمة وصندوق العدة.</p>
motarro-coloured-paper-100-sheet-mu268-1,title,Motarro Coloured Paper — 100 Sheets,ورق ١٠٠ ورقة من Motarro
motarro-coloured-paper-100-sheet-mu268-1,body_html,"<p>Motarro Coloured Paper — 100 Sheets for writing, printing and craft.</p><p>A useful stack to keep within arm's reach. From Motarro.</p>",<p>ورق ١٠٠ ورقة من Motarro للكتابة والطباعة والكرافت.</p><p>رزمة مفيدة تستحق مكانًا قريبًا من يدك.</p>
motarro-glit-eva-sponge-sticker-me151-01,title,Motarro Glitter EVA Sponge Stickers,ملصقات من Motarro
motarro-glit-eva-sponge-sticker-me151-01,body_html,"<p>Motarro Glitter EVA Sponge Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From Motarro.</p>",<p>ملصقات من Motarro — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
motarro-adhesive-labels-colour-myd066-1,title,Motarro Adhesive Labels Colour — Style 1,ملصقات تصميم ١ من Motarro
motarro-adhesive-labels-colour-myd066-1,body_html,"<p>Motarro Adhesive Labels Colour — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From Motarro.</p>",<p>ملصقات تصميم ١ من Motarro — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
motarro-adhesive-labels-colour-myd066-2,title,Motarro Adhesive Labels Colour — Style 2,ملصقات تصميم ٢ من Motarro
motarro-adhesive-labels-colour-myd066-2,body_html,"<p>Motarro Adhesive Labels Colour — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From Motarro.</p>",<p>ملصقات تصميم ٢ من Motarro — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
motarro-adhesive-labels-colour-myd066-3,title,Motarro Adhesive Labels Colour — Style 3,ملصقات تصميم ٣ من Motarro
motarro-adhesive-labels-colour-myd066-3,body_html,"<p>Motarro Adhesive Labels Colour — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From Motarro.</p>",<p>ملصقات تصميم ٣ من Motarro — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
motarro-adhesive-labels-colour-myd066-4,title,Motarro Adhesive Labels Colour — Style 4,ملصقات تصميم ٤ من Motarro
motarro-adhesive-labels-colour-myd066-4,body_html,"<p>Motarro Adhesive Labels Colour — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From Motarro.</p>",<p>ملصقات تصميم ٤ من Motarro — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
motarro-adhesive-labels-colour-myd066-6,title,Motarro Adhesive Labels Colour — Style 6,ملصقات تصميم ٦ من Motarro — Adhesive Labels Colour
motarro-adhesive-labels-colour-myd066-6,body_html,"<p>Motarro Adhesive Labels Colour — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids. From Motarro.</p>",<p>ملصقات تصميم ٦ من Motarro — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
motarro-wooden-stick-me010c,title,Motarro Wooden Stick — Style 1,مستلزمات كرافت تصميم ١ من Motarro — Wooden Stick
motarro-wooden-stick-me010c,body_html,"<p>Motarro Wooden Stick for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ١ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-wooden-stick-me019c,title,Motarro Wooden Stick — Style 2,مستلزمات كرافت تصميم ٢ من Motarro — Wooden Stick
motarro-wooden-stick-me019c,body_html,"<p>Motarro Wooden Stick for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٢ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-reading-stick-mi102-1,title,Motarro Reading Pointer Stick,مستلزمات كرافت من Motarro — Reading Pointer Stick
motarro-reading-stick-mi102-1,body_html,"<p>Motarro Reading Pointer Stick for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-wooden-stick-me014c,title,Motarro Wooden Stick — Style 3,مستلزمات كرافت تصميم ٣ من Motarro — Wooden Stick
motarro-wooden-stick-me014c,body_html,"<p>Motarro Wooden Stick for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٣ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-wooden-stick-me013c,title,Motarro Wooden Stick — Style 4,مستلزمات كرافت تصميم ٤ من Motarro — Wooden Stick
motarro-wooden-stick-me013c,body_html,"<p>Motarro Wooden Stick for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٤ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-wooden-stick-me009c,title,Motarro Wooden Stick — Style 5,مستلزمات كرافت تصميم ٥ من Motarro
motarro-wooden-stick-me009c,body_html,"<p>Motarro Wooden Stick for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٥ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-wooden-stick-me011c,title,Motarro Wooden Stick — Style 6,مستلزمات كرافت تصميم ٦ من Motarro — Wooden Stick
motarro-wooden-stick-me011c,body_html,"<p>Motarro Wooden Stick for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٦ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-decorative-eyes-me027-24,title,Motarro Decorative Eyes — Style 24,مستلزمات كرافت تصميم ٢٤ من Motarro
motarro-decorative-eyes-me027-24,body_html,"<p>Motarro Decorative Eyes for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٢٤ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-decorative-eyes-me027-12,title,Motarro Decorative Eyes — Style 12,مستلزمات كرافت تصميم ١٢ من Motarro
motarro-decorative-eyes-me027-12,body_html,"<p>Motarro Decorative Eyes for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ١٢ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
